AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Addison, Lancelot;1632 - 1703;http://viaf.org/viaf/8268610;The Christians daily sacrifice duly offer'd, or, A practical discourse teaching the right performance of prayer;The Christians daily sacrifice duly offer'd, or, A practical discourse teaching the right performance of prayer;1698;London;Robert Clavel;English;Prayers;Anglicanism;;;;https://books.google.it/books?id=J5pkAAAAcAAJ&newbks=0&printsec=frontcover&dq=The+Christians+daily+sacrifice+duly+offer%27d&hl=it&redir_esc=y#v=onepage&q&f=false
Ainsworth, Henry;1571 ? - 1622 ?;http://viaf.org/viaf/2500423;Annotations upon the five bookes of Moses, the booke of the Psalmes, and the Song of Songs, or, Canticles Wherein the Hebrevv vvords and sentences, are compared with, and explained by the ancient Greeke and Chaldee versions, and other records and monuments of the Hebrewes: but chiefly by conference with the holy Scriptures, Moses his words, lawes and ordinances, the sacrifices, and other legall ceremonies heretofore commanded by God to the Church of Israel, are explained. With an advertisement touching some objections made against the sinceritie of the Hebrew text, and allegation of the Rabbines in these annotations. As also tables directing unto such principall things as are observed in the annotations upon each severall booke;Annotations upon the five bookes of Moses, the booke of the Psalmes, and the Song of Songs, or, Canticles Wherein the Hebrevv vvords and sentences, are compared with, and explained by the ancient Greeke and Chaldee versions, and other records and monuments of the Hebrewes: but chiefly by conference with the holy Scriptures, Moses his words, lawes and ordinances, the sacrifices, and other legall ceremonies heretofore commanded by God to the Church of Israel, are explained. With an advertisement touching some objections made against the sinceritie of the Hebrew text, and allegation of the Rabbines in these annotations. As also tables directing unto such principall things as are observed in the annotations upon each severall booke;1627;London;"M. Flesher ; J. Haviland ; John Bellamie";English;Bible, Song of Songs;Bible, Pentateuch;Jews;Ancient Greek;Bible, Psalms;https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A11649
Alsted, Johann Heinrich;1588 - 1638;http://viaf.org/viaf/64053449;De Manducatione Spirituali, Transsubstantiatione, Sacrificio Missae Dissertatio: Eiusdem De Ecclesia eiusque partibus & proprietatibus Tractatus Ad Versus Bellarmini, Et Becani, & aliorum Pontificiorum errores. Qui supplem. vide D. Chamieri Panstratiae in editione Germanica adiectus est. Accessit Joh. Prideauxii Oxon. Acad. Theol. de Ecclesiae Visibilitate doctissima lectio: & Ben. Tur. Prof. Gen. de Natura Ecclesiae Disputatio ;De Manducatione Spirituali, Transsubstantiatione, Sacrificio Missae Dissertatio: Eiusdem De Ecclesia eiusque partibus & proprietatibus Tractatus Ad Versus Bellarmini, Et Becani, & aliorum Pontificiorum errores. Qui supplem. vide D. Chamieri Panstratiae in editione Germanica adiectus est. Accessit Joh. Prideauxii Oxon. Acad. Theol. de Ecclesiae Visibilitate doctissima lectio: & Ben. Tur. Prof. Gen. de Natura Ecclesiae Disputatio ;1630;Geneva;Berjon;Latin;Calvinism;Eucharist;Mass;Christ's sacrifice;;https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Abncf.firenze.sbn.it%3A21%3AFI0098%3AMagliabechi%3ACFIE011030
Anonymous / Unknown;;;A few thoughts upon the love and sacrifice of Jesus Christ. Sent by a well-wisher to religion, in a letter to his correspondent;A few thoughts upon the love and sacrifice of Jesus Christ. Sent by a well-wisher to religion, in a letter to his correspondent;1765;Glasgow;John Bryce;English;Biblical Commentaries;Bible, New Testament;Bible, Ephesinians;;;https://lib.ugent.be/en/catalog/rug01:001157253
Barksdale, Clement;1609 - 1687;http://viaf.org/viaf/40786212;The Sacrifice. A sermon upon psalm 51,17;The Sacrifice. A sermon upon psalm 51,17;1655;[Oxford];"T.W. ; W. Lee";English;Anglicanism;Sermons;Bible, Psalms;;;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A30957/A30957.html?sequence=5&isAllowed=y
Bauer, Christian Friedrich;1696 - 1752;http://viaf.org/viaf/25432117;Disputatio Theologica De Sacrificio Laudis Confessione Nominis Christi Perficiendo;Disputatio Theologica De Sacrificio Laudis Confessione Nominis Christi Perficiendo;1747;Wittenberg;Eichsfeldius;Latin;Catholicism;"
Bible, Pentateuch";Disputes;Sacraments;;https://digital.slub-dresden.de/werkansicht/dlf/60829/1/0/
Becanus, Martinus;1563 - 1624;http://viaf.org/viaf/41951877;De triplici sacrificio naturae, legis, gratiae. Libelli tres;De triplici sacrificio naturae, legis, gratiae. Libelli tres;1610;Mainz;Ioannes Albinus;Latin;Catholicism;Jesuits (S.J.);Abel and Cain;Noah;Abraham and Isaac;https://ia802709.us.archive.org/23/items/bub_gb_YoFjHgVTaHYC/bub_gb_YoFjHgVTaHYC.pdf
Benson, George;1699 - 1762;http://viaf.org/viaf/18642080;Second thoughts concerning the sufferings and death of Christ, as a propitiatory sacrifice for the sins of the world, and a satisfaction to divine justice;Second thoughts concerning the sufferings and death of Christ, as a propitiatory sacrifice for the sins of the world, and a satisfaction to divine justice;1748;London;"J. Waugh ; J. Noon ; R. King";English;Anglicanism;Christ's sacrifice;Bible, Old Testament;Bible, New Testament;;https://books.google.it/books?id=wRS-MAzkaU4C&newbks=0&printsec=frontcover&dq=Second+thoughts+concerning+the+sufferings+and+death+of+Christ&hl=it&redir_esc=y#v=onepage& q=Second%20thoughts%20concerning%20the%20sufferings%20and%20death%20of%20Christ&f=false
Bèze, Théodore de;1519 - 1605;http://viaf.org/viaf/66463755;Abraham sacrifiant. Tragedie françoise;Abraham sacrifiant. Tragedie françoise;1550;Geneva;"Jean Crespin ; Conrad Badius";;Tragedies;Abraham and Isaac;Theatre;Bible, Genesis;Bible, Old Testament;https://www.e-rara.ch/mhr_g/content/titleinfo/3930469
Bèze, Théodore de;1519 - 1605;http://viaf.org/viaf/66463755;Poemata. Psalmi Davidici XXX. Sylvae. Elegiae. Epigrammata, cum alia varii argumenti, tum Epitaphia, et quae peculiari nomine Iconas inscripsit. Omnia in hac tertia editione, partim recognita, partim locupletata;Poemata. Psalmi Davidici XXX. Sylvae. Elegiae. Epigrammata, cum alia varii argumenti, tum Epitaphia, et quae peculiari nomine Iconas inscripsit. Omnia in hac tertia editione, partim recognita, partim locupletata;1576;Geneva;H. Estienne ;;Bible, Psalms;Poems;Epitaphs;;;https://books.google.it/books/about/Theod_Bezae_poemata_Psalmi_Davidici_XXX.html?id=CP37N05c6QkC&redir_esc=y
